"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2020","5.1557","5.1540","5.1846","5.1164","106.16K","0.08%"
"12/03/2020","5.1515","5.2178","5.2310","5.1209","117.93K","-1.26%"
"12/02/2020","5.2175","5.2252","5.2554","5.2059","103.51K","0.22%"
"12/01/2020","5.2061","5.3158","5.3301","5.2031","122.34K","-2.36%"
"11/30/2020","5.3319","5.2906","5.3971","5.2737","121.58K","-0.22%"
"11/27/2020","5.3438","5.3360","5.3801","5.3195","69.73K","0.14%"
"11/26/2020","5.3365","5.3198","5.3584","5.2955","48.26K","0.24%"
"11/25/2020","5.3237","5.3740","5.3956","5.3037","100.20K","-0.93%"
"11/24/2020","5.3736","5.4409","5.4450","5.3703","91.58K","-1.20%"
"11/23/2020","5.4390","5.3780","5.4507","5.3387","119.52K","1.10%"
"11/20/2020","5.3797","5.2913","5.3959","5.2847","99.71K","1.40%"
"11/19/2020","5.3054","5.3633","5.3805","5.2972","112.58K","-1.07%"
"11/18/2020","5.3629","5.3285","5.3725","5.2740","126.97K","0.65%"
"11/17/2020","5.3281","5.4165","5.4233","5.3221","120.52K","-1.61%"
"11/16/2020","5.4152","5.4148","5.4584","5.3636","133.56K","-0.79%"
"11/13/2020","5.4582","5.4580","5.5264","5.4497","122.14K","0.00%"
"11/12/2020","5.4581","5.4160","5.4904","5.3526","138.19K","1.24%"
"11/11/2020","5.3910","5.4180","5.4571","5.3738","121.57K","-0.44%"
"11/10/2020","5.4147","5.3737","5.4190","5.3345","192.18K","0.54%"
"11/09/2020","5.3858","5.2746","5.4260","5.2235","202.44K","0.39%"
"11/06/2020","5.3647","5.5255","5.5742","5.3586","166.00K","-2.90%"
"11/05/2020","5.5250","5.6129","5.6310","5.5223","146.37K","-2.45%"
"11/04/2020","5.6635","5.7565","5.7655","5.6434","134.76K","-1.61%"
"11/03/2020","5.7560","5.6964","5.7667","5.6487","107.43K","0.24%"
"11/02/2020","5.7425","5.7430","5.7430","5.7430","","-0.04%"
"10/30/2020","5.7446","5.7781","5.8084","5.7217","169.76K","-0.60%"
"10/29/2020","5.7790","5.7466","5.7923","5.7439","151.21K","0.58%"
"10/28/2020","5.7457","5.7060","5.7927","5.7017","200.63K","0.70%"
"10/27/2020","5.7055","5.6243","5.7127","5.5986","102.77K","1.47%"
"10/26/2020","5.6229","5.6551","5.6638","5.6100","119.59K","0.10%"
"10/23/2020","5.6175","5.5929","5.6354","5.5651","103.42K","0.50%"
"10/22/2020","5.5893","5.6088","5.6264","5.5627","118.23K","-0.31%"
"10/21/2020","5.6066","5.6058","5.6294","5.5707","130.39K","0.02%"
"10/20/2020","5.6054","5.6103","5.6267","5.5472","130.23K","-0.03%"
"10/19/2020","5.6069","5.6463","5.6503","5.5665","123.91K","-0.64%"
"10/16/2020","5.6428","5.6097","5.6549","5.5975","104.67K","0.54%"
"10/15/2020","5.6126","5.5958","5.6483","5.5886","144.04K","0.38%"
"10/14/2020","5.5912","5.5729","5.6055","5.5349","127.89K","0.39%"
"10/13/2020","5.5693","5.5263","5.6262","5.5210","131.78K","0.68%"
"10/12/2020","5.5316","5.5316","5.5316","5.5316","","0.00%"
"10/09/2020","5.5318","5.6000","5.6013","5.5104","116.89K","-1.19%"
"10/08/2020","5.5987","5.6128","5.6469","5.5761","132.28K","-0.20%"
"10/07/2020","5.6097","5.5613","5.6396","5.5507","153.56K","0.30%"
"10/06/2020","5.5930","5.5745","5.6174","5.4830","174.53K","0.34%"
"10/05/2020","5.5743","5.6498","5.6774","5.5500","122.12K","-1.95%"
"10/02/2020","5.6851","5.6433","5.6929","5.6072","168.04K","0.73%"
"10/01/2020","5.6437","5.6109","5.6652","5.5739","148.01K","0.58%"
"09/30/2020","5.6112","5.6352","5.6705","5.5870","183.30K","-0.41%"
"09/29/2020","5.6344","5.6614","5.6786","5.6061","163.25K","-0.50%"
"09/28/2020","5.6627","5.5135","5.6760","5.5127","130.06K","1.80%"
"09/25/2020","5.5624","5.5097","5.5890","5.5097","139.29K","0.97%"
"09/24/2020","5.5089","5.5930","5.6243","5.4926","177.56K","-1.53%"
"09/23/2020","5.5943","5.4702","5.5991","5.4700","136.86K","2.26%"
"09/22/2020","5.4704","5.4146","5.4967","5.3828","150.16K","1.06%"
"09/21/2020","5.4131","5.4511","5.4979","5.3876","142.42K","0.47%"
"09/18/2020","5.3876","5.2397","5.3988","5.2391","129.11K","2.83%"
"09/17/2020","5.2394","5.2379","5.2924","5.2264","128.05K","0.03%"
"09/16/2020","5.2377","5.2762","5.2785","5.2102","136.75K","-0.70%"
"09/15/2020","5.2748","5.2698","5.3016","5.2192","126.53K","0.08%"
"09/14/2020","5.2706","5.3191","5.3235","5.2613","108.01K","-0.91%"
"09/11/2020","5.3189","5.3209","5.3495","5.2583","120.76K","-0.04%"
"09/10/2020","5.3210","5.3095","5.3325","5.2681","130.50K","0.25%"
"09/09/2020","5.3078","5.3615","5.3620","5.2785","103.16K","-1.04%"
"09/08/2020","5.3638","5.3608","5.4096","5.3156","147.82K","1.21%"
"09/07/2020","5.2997","5.2997","5.2997","5.2997","","-0.03%"
"09/04/2020","5.3012","5.2901","5.3285","5.2465","145.33K","0.19%"
"09/03/2020","5.2914","5.3408","5.3752","5.2722","150.52K","-0.92%"
"09/02/2020","5.3403","5.3987","5.4309","5.3407","125.49K","-1.03%"
"09/01/2020","5.3960","5.4927","5.4927","5.3344","110.74K","-1.74%"
"08/31/2020","5.4914","5.3850","5.4955","5.3850","99.21K","1.92%"
"08/28/2020","5.3881","5.5700","5.5702","5.3855","113.32K","-3.25%"
"08/27/2020","5.5691","5.6060","5.6223","5.5435","141.64K","-0.65%"
"08/26/2020","5.6054","5.5090","5.6342","5.5089","106.65K","1.78%"
"08/25/2020","5.5075","5.6112","5.6136","5.5049","102.60K","-1.83%"
"08/24/2020","5.6100","5.5773","5.6148","5.5589","88.21K","-0.16%"
"08/21/2020","5.6192","5.5587","5.6332","5.5554","102.64K","1.12%"
"08/20/2020","5.5568","5.5573","5.6733","5.5381","126.75K","-0.01%"
"08/19/2020","5.5575","5.4674","5.5619","5.4345","107.21K","1.66%"
"08/18/2020","5.4666","5.5098","5.5168","5.4206","97.98K","-0.77%"
"08/17/2020","5.5090","5.4410","5.5149","5.4089","96.37K","1.63%"
"08/14/2020","5.4204","5.3699","5.4422","5.3573","108.86K","0.96%"
"08/13/2020","5.3690","5.4356","5.4362","5.3490","114.20K","-1.18%"
"08/12/2020","5.4333","5.3819","5.4925","5.3819","115.28K","0.99%"
"08/11/2020","5.3800","5.4809","5.4822","5.3716","129.16K","-1.85%"
"08/10/2020","5.4812","5.4395","5.4907","5.3517","103.33K","0.79%"
"08/07/2020","5.4383","5.3442","5.4394","5.3401","94.66K","2.00%"
"08/06/2020","5.3315","5.2915","5.3721","5.2915","97.53K","0.78%"
"08/05/2020","5.2902","5.2439","5.3204","5.2317","105.88K","0.00%"
